"","Site","Treatment","Burn_year","PlotID","Lat","Lon","Elevation","Comment","SiteID","Year","2m_temperature","2m_temperature_SD","2m_temperature_UC","volumetric_soil_water_layer_1","volumetric_soil_water_layer_1_SD","volumetric_soil_water_layer_1_UC","total_precipitation","total_precipitation_SD","total_precipitation_UC"
"16","ACJ","B",2005,1,-13.169344,-71.634001,3444.1,NA,"ACJ_B_1",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"17","ACJ","B",2005,2,-13.169347,-71.634004,3444.2,NA,"ACJ_B_2",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"18","ACJ","B",2005,3,-13.169447,-71.634022,3446.3,NA,"ACJ_B_3",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"19","ACJ","B",2005,4,-13.169483,-71.634032,3447.3,NA,"ACJ_B_4",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"20","ACJ","B",2005,5,-13.169548,-71.63403,3447.7,NA,"ACJ_B_5",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"21","ACJ","C",NA,1,-13.176034,-71.628828,3487.4,NA,"ACJ_C_1",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"22","ACJ","C",NA,2,-13.1761,-71.628834,3487.7,NA,"ACJ_C_2",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"23","ACJ","C",NA,3,-13.176134,-71.628834,3489,NA,"ACJ_C_3",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"24","ACJ","C",NA,4,-13.176195,-71.628844,3490,NA,"ACJ_C_4",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"25","ACJ","C",NA,5,-13.176252,-71.628819,3492.4,NA,"ACJ_C_5",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"26","ACJ","NB",2019,1,-13.167796,-71.632551,3400,NA,"ACJ_NB_1",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"27","ACJ","NB",2019,2,-13.167796,-71.632551,3400,NA,"ACJ_NB_2",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"28","ACJ","NB",2019,3,-13.167796,-71.632551,3400,NA,"ACJ_NB_3",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"29","ACJ","NB",2019,4,-13.167796,-71.632551,3400,NA,"ACJ_NB_4",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
"30","ACJ","NB",2019,5,-13.167796,-71.632551,3400,NA,"ACJ_NB_5",2018,283.43868800572,0.969057187429809,0.928742397508855,0.406010081134145,0.0109235577040527,0.029703833939571,0.331305524748233,0.153368333537117,0.140107728277049
